Word number,Page number,Word,Translation / Definition
1,1,trap,пастка
2,1,coincidence,збіг обставин
3,2,to capture,"охопити, завойовувати"
4,6,"implied, implicit","непрямий, неявний (suggested but not directly expressed)"
5,7,retrieval,відновлення (the process of getting something back from somewhere)
6,10,to discard,"відкинути, відмовитись від"
7,10,obliged,зобов'язаний
8,10,to reinforce,підкріплювати
9,10,vital,життєво необхідний
10,10,pretentious,"манерний, показний"
11,12,mere,"простий, незначний"
12,12,conceivable,capable of being imagined or grasped mentally
13,12,to stem from,випливати з
14,14,frustrated,feeling or expressing distress and annoyance resulting from an inability to change or achieve something
15,15,to reflect,"відбивати, обмірковувати"
16,15,forcefully,насильно
17,15,to seize,схопити
18,15,firmly ,міцно
19,15,stamina,витривалість
20,15,jack of all trades,майстер на всі руки
21,15,to keep abreast,бути в курсі
22,16,ongoing,"безперервний, still in progress"
23,16,appraisal,оцінка
24,17,to preclude,prevent from happening; make impossible.
25,17,to transcend,переходити межі (be or go beyond the range or limits of)
26,17,contribution,внесок
27,17,to sustain,підтримувати
28,17,overall,"всеохоплюючий, taking everything into account (over all)"
29,18,to brush someone/smth off,"to refuse to consider what someone says, or to not admit that something may be true or important"
30,20,scornful,зневажливий
31,20,to get revenge,помститися
32,20,conventional,загальноприйнятий
33,20,to overcome,"подолати, succeed in dealing with"
34,20,to contribute,робити внесок
35,21,staggering,приголомшений
36,23,to instigate,спровокувати
37,23,to stem from,"випливати з, to be caused by (something or someone)"
38,24,to take charge of,взяти на себе відповідальність
39,24,ignorance,lack of knowledge or information
40,24,unforeseen ,непередбачуваний
41,24,shortcoming,недолік
42,24,commitment,зобов'язання
43,24,accountable,відповідальний за свої вчинки
44,24,to blame,винити
45,25,to salvage (a situation),manage to get something useful from it so that it is not a complete failure
46,25,to flush out someone/smth,to force a person or animal to leave a hiding place
47,27,to tend,regularly or frequently behave in a particular way or have a certain characteristic
48,27,setback,"затримка, невдача"
49,27,abandoned,покинутий
50,27,to crack down,"act more forcefully to regulate, repress, or restrain"
51,27,infraction,порушення
52,28,to offend,"кривдити, ображати"
53,28,to substitute,замінити
54,28,dummy,"макет, штучна річ"
55,28,to accelerate,прискорювати
56,28,to rush into,to do something without first thinking carefully about it
57,28,to rage,бути в гніві
58,28,crap,something of extremely poor quality
59,30,to hoard,накопичувати
60,30,to enhance,"збільшувати, підвищувати"
61,30,eventually,"зрештою, in the end, especially after a long delay, dispute, or series of problems"
62,31,to marvel,дивуватися
63,31,deception,обман
64,31,accumulation,"скупчення, накопичення"
65,32,to perceive,become aware or conscious of (something); come to realize or understand
66,32,to deceive,"обдурювати, вводити в оману"
67,33,to conspire,змовитися
68,33,to maintain,"підтримувати, вдержувати, викормляти"
69,33,sloppy,careless and unsystematic; excessively casual
70,33,constraint,обмеження
71,34,to sketch out,"to give a short description of something, containing few details"
72,34,to spoil,"псувати, пошкоджувати"
73,35,evidence,доказ
74,36,be at a loss,not to know what to do or say
75,37,to collapse,"занепасти, зазнати краху"
76,38,to acquire,"оволодівати, набувати"
77,38,to get stuck in a rut,"застрягти в колії, too fixed in one particular type of job, activity, method, etc., and needing to change"
78,38,to branch out,extend or expand one's activities or interests in a new direction
79,40,to feature,"характеризуватися, be a significant characteristic of or take an important part in"
80,40,to some extent,певною мірою
81,40,to adapt,to change something to suit your needs
82,40,to adopt,to take something over
83,40,to frame,"formulate (a concept, plan, or system)"
84,40,a favor,послуга
85,41,to pick out,"to choose, find, or recognize something or someone in a group"
86,41,fellow,товариш
87,42,to look over,оглянути
88,42,to overlook,не помічати
89,42,intention,намір
90,42,to work smth out,to understand something or to find the answer to something by thinking about it
91,42,to plot out,планувати
92,42,outline,"ескіз, план"
93,42,to refine,уточнювати
94,43,to convey,передати
95,43,sophisticated,"досвідчений, having a good understanding of the way people behave and/or a good knowledge of culture and fashion"
96,44,solely,виключно
97,44,stunning,приголомшливий
98,44,to end up,"to reach or come to a place, condition, or situation that was not planned or expected"
99,45,dispute,суперечка
100,46,to haunt,переслідувати
